ticker,sector,composite_z,composite_rank,composite_pct,ai_score,ai_rated_at,value_quality_score,value_rank,growth_score,growth_rank,exclusion_reason
SOUN,Information Technology,-1.0427,2408,2.39,,,,,,,
SPB,Industrials,0.156,858,65.25,,,,,,,
SPCX,Information Technology,,,,,,,,,,new_issue
SPFI,Financials,-0.0821,1558,36.86,,,,,,,
SPG,Real Estate,-0.0921,1588,35.64,,,,,,,
SPGI,,0.2105,726,70.6,,,,,,,
SPHR,Consumer Discretionary,0.7259,98,96.07,,,,,,,
SPIR,Communication Services,-0.4241,2118,14.15,,,,,,,
SPNT,Financials,0.2431,640,74.09,,,,,,,
SPOT,Communication Services,-0.8885,2374,3.77,,,,,,,
SPRY,Health Care,-1.5104,2454,0.53,,,,,,,
SPSC,Information Technology,-0.2892,1978,19.83,,,,,,,
SPT,Information Technology,0.1687,834,66.22,,,,,,,
SPTX,Health Care,,,,,,,,,,new_issue
SPXC,Industrials,-0.0064,1349,45.34,,,,,,,
SQM,Materials,0.3592,409,83.45,,,,,,,
SR,Utilities,-0.1187,1657,32.85,,,,,,,
SRAD,Information Technology,-1.3811,2446,0.85,,,,,,,
SRCE,Financials,0.3511,420,83.01,,,,,,,
SRE,Utilities,-0.0806,1553,37.06,,,,,,,
SRPT,Health Care,-0.3317,2033,17.6,,,,,,,
SRRK,Health Care,-0.4551,2144,13.1,,,,,,,
SRTA,Health Care,-0.4532,2142,13.18,,,,,,,
SSB,Financials,0.0228,1253,49.23,,,,,,,
SSD,Industrials,0.2894,536,78.3,,,,,,,
SSMR,Materials,,,,,,,,,,new_issue
SSNC,Information Technology,0.2526,616,75.06,,,,,,,
SSRM,Financials,0.2546,613,75.18,,,,,,,
SSSS,,,,,,,,,,,new_issue
SSTK,Information Technology,-0.7812,2344,4.99,,,,,,,
SSYS,Information Technology,-0.4837,2174,11.88,,,,,,,
ST,Industrials,0.2589,603,75.59,,,,,,,
STAA,Health Care,-0.2337,1893,23.28,,,,,,,
STAG,Real Estate,-0.0296,1423,42.34,,,,,,,
STBA,Financials,0.2643,589,76.16,,,,,,,
STC,Financials,-0.0615,1508,38.89,,,,,,,
STE,Health Care,-0.0312,1427,42.17,,,,,,,
STEL,Financials,,,,,,,,,,new_issue
STEP,Financials,-0.1606,1751,29.03,,,,,,,
STGW,Communication Services,-0.238,1901,22.95,,,,,,,
STLA,Consumer Discretionary,-1.1286,2421,1.87,,,,,,,
STLD,Materials,0.2844,551,77.7,,,,,,,
STM,Information Technology,0.3314,459,81.43,,,,,,,
STN,Industrials,-1.0906,2417,2.03,,,,,,,
STNE,Information Technology,-0.6894,2307,6.49,,,,,,,
STNG,Industrials,0.4652,276,88.85,,,,,,,
STOK,Health Care,-0.4038,2103,14.76,,,,,,,
STRA,,0.1452,891,63.91,,,,,,,
STRL,Industrials,0.5674,187,92.46,,,,,,,
STRO,Health Care,0.4665,274,88.93,,,,,,,
STRT,Consumer Discretionary,0.0518,1170,52.6,,,,,,,
STT,Financials,0.4282,312,87.39,,,,,,,
STTK,Health Care,-0.3054,1990,19.34,56.0,2026-08-14T21:07:30.036356+00:00,0.5884,87,2.6948,21,
STUB,Consumer Discretionary,,,,,,,,,,new_issue
STVN,Health Care,-0.6271,2277,7.7,,,,,,,
STWD,Real Estate,-0.3643,2068,16.18,,,,,,,
STX,Information Technology,1.3987,15,99.43,74.0,2026-08-10T22:37:22.698626+00:00,1.51,3,2.9678,16,
STZ,Consumer Staples,-0.0396,1443,41.52,,,,,,,
SU,Energy,0.6638,124,95.01,,,,,,,
SUI,Real Estate,0.0306,1232,50.08,,,,,,,
SUJA,Consumer Staples,,,,,,,,,,new_issue
SUNB,,,,,,,,,,,insufficient_history
SUPN,Health Care,-0.4059,2105,14.68,,,,,,,
SVC,Real Estate,-1.22,2434,1.34,,,,,,,
SVM,Materials,1.3771,16,99.39,,,,,,,
SVRA,Health Care,-0.5859,2247,8.92,,,,,,,
SVV,Consumer Discretionary,-0.0455,1460,40.84,,,,,,,
SW,Materials,-0.0143,1375,44.28,,,,,,,
SWBI,Industrials,0.6145,148,94.04,,,,,,,
SWK,Industrials,0.3402,445,82.0,,,,,,,
